seq,frame_id,img_timestamp,recv_timestamp,latency
0,D455_1:depth,1.67762e+09,1.67762e+09,3.98984
1,D455_1:depth,1.67762e+09,1.67762e+09,4.00587
2,D455_1:depth,1.67762e+09,1.67762e+09,4.08692
3,D455_1:depth,1.67762e+09,1.67762e+09,4.10283
4,D455_1:depth,1.67762e+09,1.67762e+09,4.14386
5,D455_1:depth,1.67762e+09,1.67762e+09,4.15884
6,D455_1:depth,1.67762e+09,1.67762e+09,4.22496
7,D455_1:depth,1.67762e+09,1.67762e+09,4.24095
8,D455_1:depth,1.67762e+09,1.67762e+09,4.28194
9,D455_1:depth,1.67762e+09,1.67762e+09,4.29695
10,D455_1:depth,1.67762e+09,1.67762e+09,4.3379
11,D455_1:depth,1.67762e+09,1.67762e+09,4.37893
12,D455_1:depth,1.67762e+09,1.67762e+09,4.41992
13,D455_1:depth,1.67762e+09,1.67762e+09,4.45984
14,D455_1:depth,1.67762e+09,1.67762e+09,4.50095
15,D455_1:depth,1.67762e+09,1.67762e+09,4.54196
16,D455_1:depth,1.67762e+09,1.67762e+09,4.55795
17,D455_1:depth,1.67762e+09,1.67762e+09,4.59794
18,D455_1:depth,1.67762e+09,1.67762e+09,4.63888
19,D455_1:depth,1.67762e+09,1.67762e+09,4.65495
20,D455_1:depth,1.67762e+09,1.67762e+09,4.69594
21,D455_1:depth,1.67762e+09,1.67762e+09,4.73595
22,D455_1:depth,1.67762e+09,1.67762e+09,4.80186
23,D455_1:depth,1.67762e+09,1.67762e+09,4.81795
24,D455_1:depth,1.67762e+09,1.67762e+09,4.85896
25,D455_1:depth,1.67762e+09,1.67762e+09,4.87386
26,D455_1:depth,1.67762e+09,1.67762e+09,4.93997
27,D455_1:depth,1.67762e+09,1.67762e+09,4.95587
28,D455_1:depth,1.67762e+09,1.67762e+09,5.0219
29,D455_1:depth,1.67762e+09,1.67762e+09,5.04686
30,D455_1:depth,1.67762e+09,1.67762e+09,5.06188
31,D455_1:depth,1.67762e+09,1.67762e+09,5.11194
32,D455_1:depth,1.67762e+09,1.67762e+09,5.10289
33,D455_1:depth,1.67762e+09,1.67762e+09,5.11896
34,D455_1:depth,1.67762e+09,1.67762e+09,5.18497
35,D455_1:depth,1.67762e+09,1.67762e+09,5.19997
36,D455_1:depth,1.67762e+09,1.67762e+09,5.24096
37,D455_1:depth,1.67762e+09,1.67762e+09,5.28202
38,D455_1:depth,1.67762e+09,1.67762e+09,5.29697
39,D455_1:depth,1.67762e+09,1.67762e+09,5.33785
40,D455_1:depth,1.67762e+09,1.67762e+09,5.35391
41,D455_1:depth,1.67762e+09,1.67762e+09,5.39487
42,D455_1:depth,1.67762e+09,1.67762e+09,5.43487
43,D455_1:depth,1.67762e+09,1.67762e+09,5.47587
44,D455_1:depth,1.67762e+09,1.67762e+09,5.51692
45,D455_1:depth,1.67762e+09,1.67762e+09,5.53293
46,D455_1:depth,1.67762e+09,1.67762e+09,5.57289
47,D455_1:depth,1.67762e+09,1.67762e+09,5.56391
48,D455_1:depth,1.67762e+09,1.67762e+09,5.6299
49,D455_1:depth,1.67762e+09,1.67762e+09,5.64592
50,D455_1:depth,1.67762e+09,1.67762e+09,5.68593
51,D455_1:depth,1.67762e+09,1.67762e+09,5.70193
52,D455_1:depth,1.67762e+09,1.67762e+09,5.74289
53,D455_1:depth,1.67762e+09,1.67762e+09,5.78409
54,D455_1:depth,1.67762e+09,1.67762e+09,5.79894
55,D455_1:depth,1.67762e+09,1.67762e+09,5.86491
56,D455_1:depth,1.67762e+09,1.67762e+09,5.88096
57,D455_1:depth,1.67762e+09,1.67762e+09,5.897
58,D455_1:depth,1.67762e+09,1.67762e+09,5.93701
59,D455_1:depth,1.67762e+09,1.67762e+09,6.00295
60,D455_1:depth,1.67762e+09,1.67762e+09,6.04389
61,D455_1:depth,1.67762e+09,1.67762e+09,6.07495
62,D455_1:depth,1.67762e+09,1.67762e+09,6.0909
63,D455_1:depth,1.67762e+09,1.67762e+09,6.1569
64,D455_1:depth,1.67762e+09,1.67762e+09,6.17291
65,D455_1:depth,1.67762e+09,1.67762e+09,6.21291
66,D455_1:depth,1.67762e+09,1.67762e+09,6.23794
67,D455_1:depth,1.67762e+09,1.67762e+09,6.27891
68,D455_1:depth,1.67762e+09,1.67762e+09,6.30391
69,D455_1:depth,1.67762e+09,1.67762e+09,6.31991
70,D455_1:depth,1.67762e+09,1.67762e+09,6.33591
71,D455_1:depth,1.67762e+09,1.67762e+09,6.40094
72,D455_1:depth,1.67762e+09,1.67762e+09,6.39192
73,D455_1:depth,1.67762e+09,1.67762e+09,6.45792
74,D455_1:depth,1.67762e+09,1.67762e+09,6.44894
75,D455_1:depth,1.67762e+09,1.67762e+09,6.53896
76,D455_1:depth,1.67762e+09,1.67762e+09,6.55493
77,D455_1:depth,1.67762e+09,1.67762e+09,6.59598
78,D455_1:depth,1.67762e+09,1.67762e+09,6.63593
79,D455_1:depth,1.67762e+09,1.67762e+09,6.65197
80,D455_1:depth,1.67762e+09,1.67762e+09,6.71795
81,D455_1:depth,1.67762e+09,1.67762e+09,6.70893
82,D455_1:depth,1.67762e+09,1.67762e+09,6.774
83,D455_1:depth,1.67762e+09,1.67762e+09,6.79005
84,D455_1:depth,1.67762e+09,1.67762e+09,6.831
85,D455_1:depth,1.67762e+09,1.67762e+09,6.84698
86,D455_1:depth,1.67762e+09,1.67762e+09,6.88691
87,D455_1:depth,1.67762e+09,1.67762e+09,6.90293
88,D455_1:depth,1.67762e+09,1.67762e+09,6.9851
89,D455_1:depth,1.67762e+09,1.67762e+09,6.99994
90,D455_1:depth,1.67762e+09,1.67762e+09,7.04098
91,D455_1:depth,1.67762e+09,1.67762e+09,7.05695
92,D455_1:depth,1.67762e+09,1.67762e+09,7.12295
93,D455_1:depth,1.67762e+09,1.67762e+09,7.13797
94,D455_1:depth,1.67762e+09,1.67762e+09,7.17896
95,D455_1:depth,1.67762e+09,1.67762e+09,7.19503
96,D455_1:depth,1.67762e+09,1.67762e+09,7.211
97,D455_1:depth,1.67762e+09,1.67762e+09,7.27604
98,D455_1:depth,1.67762e+09,1.67762e+09,7.29205
99,D455_1:depth,1.67762e+09,1.67762e+09,7.30796
100,D455_1:depth,1.67762e+09,1.67762e+09,7.349
101,D455_1:depth,1.67762e+09,1.67762e+09,7.36396
102,D455_1:depth,1.67762e+09,1.67762e+09,7.40506
103,D455_1:depth,1.67762e+09,1.67762e+09,7.47096
104,D455_1:depth,1.67762e+09,1.67762e+09,7.47096
105,D455_1:depth,1.67762e+09,1.67762e+09,7.51197
106,D455_1:depth,1.67762e+09,1.67762e+09,7.52701
107,D455_1:depth,1.67762e+09,1.67762e+09,7.59302
108,D455_1:depth,1.67762e+09,1.67762e+09,7.60906
109,D455_1:depth,1.67762e+09,1.67762e+09,7.64997
110,D455_1:depth,1.67762e+09,1.67762e+09,7.66498
111,D455_1:depth,1.67762e+09,1.67762e+09,7.68102
112,D455_1:depth,1.67762e+09,1.67762e+09,7.72208
113,D455_1:depth,1.67762e+09,1.67762e+09,7.76298
114,D455_1:depth,1.67762e+09,1.67762e+09,7.77797
115,D455_1:depth,1.67762e+09,1.67762e+09,7.79402
116,D455_1:depth,1.67762e+09,1.67762e+09,7.81007
117,D455_1:depth,1.67762e+09,1.67762e+09,7.84998
118,D455_1:depth,1.67762e+09,1.67762e+09,7.89102
119,D455_1:depth,1.67762e+09,1.67762e+09,7.9071
120,D455_1:depth,1.67762e+09,1.67762e+09,7.94801
121,D455_1:depth,1.67762e+09,1.67762e+09,7.96299
122,D455_1:depth,1.67762e+09,1.67762e+09,8.004
123,D455_1:depth,1.67762e+09,1.67762e+09,8.01998
124,D455_1:depth,1.67762e+09,1.67762e+09,8.06097
125,D455_1:depth,1.67762e+09,1.67762e+09,8.11706
126,D455_1:depth,1.67762e+09,1.67762e+09,8.15804
127,D455_1:depth,1.67762e+09,1.67762e+09,8.14898
128,D455_1:depth,1.67762e+09,1.67762e+09,8.18898
129,D455_1:depth,1.67762e+09,1.67762e+09,8.20502
130,D455_1:depth,1.67762e+09,1.67762e+09,8.246
131,D455_1:depth,1.67762e+09,1.67762e+09,8.262
132,D455_1:depth,1.67762e+09,1.67762e+09,8.30201
133,D455_1:depth,1.67762e+09,1.67762e+09,8.31801
134,D455_1:depth,1.67762e+09,1.67762e+09,8.35904
135,D455_1:depth,1.67762e+09,1.67762e+09,8.40001
136,D455_1:depth,1.67762e+09,1.67762e+09,8.44006
137,D455_1:depth,1.67762e+09,1.67762e+09,8.45601
138,D455_1:depth,1.67762e+09,1.67762e+09,8.52205
139,D455_1:depth,1.67762e+09,1.67762e+09,8.56303
140,D455_1:depth,1.67762e+09,1.67762e+09,8.5781
141,D455_1:depth,1.67762e+09,1.67762e+09,8.6191
142,D455_1:depth,1.67762e+09,1.67762e+09,8.6601
143,D455_1:depth,1.67762e+09,1.67762e+09,8.67604
144,D455_1:depth,1.67762e+09,1.67762e+09,8.69106
145,D455_1:depth,1.67762e+09,1.67762e+09,8.73202
146,D455_1:depth,1.67762e+09,1.67762e+09,8.77305
147,D455_1:depth,1.67762e+09,1.67762e+09,8.81402
148,D455_1:depth,1.67762e+09,1.67762e+09,8.82905
149,D455_1:depth,1.67762e+09,1.67762e+09,8.87015
150,D455_1:depth,1.67762e+09,1.67762e+09,8.88607
151,D455_1:depth,1.67762e+09,1.67762e+09,8.92711
152,D455_1:depth,1.67762e+09,1.67762e+09,8.94204
153,D455_1:depth,1.67762e+09,1.67762e+09,8.9581
154,D455_1:depth,1.67762e+09,1.67762e+09,8.99903
155,D455_1:depth,1.67762e+09,1.67762e+09,9.01504
156,D455_1:depth,1.67762e+09,1.67762e+09,9.03003
157,D455_1:depth,1.67762e+09,1.67762e+09,9.07104
158,D455_1:depth,1.67762e+09,1.67762e+09,9.08709
159,D455_1:depth,1.67762e+09,1.67762e+09,9.10313
160,D455_1:depth,1.67762e+09,1.67762e+09,9.11805
161,D455_1:depth,1.67762e+09,1.67762e+09,9.15914
162,D455_1:depth,1.67762e+09,1.67762e+09,9.17508
163,D455_1:depth,1.67762e+09,1.67762e+09,9.19007
164,D455_1:depth,1.67762e+09,1.67762e+09,9.23105
165,D455_1:depth,1.67762e+09,1.67762e+09,9.27207
166,D455_1:depth,1.67762e+09,1.67762e+09,9.26306
167,D455_1:depth,1.67762e+09,1.67762e+09,9.3031
168,D455_1:depth,1.67762e+09,1.67762e+09,9.31916
169,D455_1:depth,1.67762e+09,1.67762e+09,9.31008
170,D455_1:depth,1.67762e+09,1.67762e+09,9.40107
171,D455_1:depth,1.67762e+09,1.67762e+09,9.39107
172,D455_1:depth,1.67762e+09,1.67762e+09,9.40708
173,D455_1:depth,1.67762e+09,1.67762e+09,9.42312
174,D455_1:depth,1.67762e+09,1.67762e+09,9.46406
175,D455_1:depth,1.67762e+09,1.67762e+09,9.50405
176,D455_1:depth,1.67762e+09,1.67762e+09,9.50405
177,D455_1:depth,1.67762e+09,1.67762e+09,9.54507
178,D455_1:depth,1.67762e+09,1.67762e+09,9.56105
179,D455_1:depth,1.67762e+09,1.67762e+09,9.60209
180,D455_1:depth,1.67762e+09,1.67762e+09,9.61708
181,D455_1:depth,1.67762e+09,1.67762e+09,9.65809
182,D455_1:depth,1.67762e+09,1.67762e+09,9.67408
183,D455_1:depth,1.67762e+09,1.67762e+09,9.69002
184,D455_1:depth,1.67762e+09,1.67762e+09,9.73005
185,D455_1:depth,1.67762e+09,1.67762e+09,9.74606
186,D455_1:depth,1.67762e+09,1.67762e+09,9.76206
187,D455_1:depth,1.67762e+09,1.67762e+09,9.80306
188,D455_1:depth,1.67762e+09,1.67762e+09,9.8182
189,D455_1:depth,1.67762e+09,1.67762e+09,9.85911
190,D455_1:depth,1.67762e+09,1.67762e+09,9.87507
191,D455_1:depth,1.67762e+09,1.67762e+09,9.89117
192,D455_1:depth,1.67762e+09,1.67762e+09,9.90612
193,D455_1:depth,1.67762e+09,1.67762e+09,9.94712
194,D455_1:depth,1.67762e+09,1.67762e+09,9.96317
195,D455_1:depth,1.67762e+09,1.67762e+09,10.0042
