seq,frame_id,img_timestamp,recv_timestamp,latency
0,D455_1:right_ir,1.67762e+09,1.67762e+09,3.95619
1,D455_1:right_ir,1.67762e+09,1.67762e+09,3.99754
2,D455_1:right_ir,1.67762e+09,1.67762e+09,4.01079
3,D455_1:right_ir,1.67762e+09,1.67762e+09,4.07867
4,D455_1:right_ir,1.67762e+09,1.67762e+09,4.14166
5,D455_1:right_ir,1.67762e+09,1.67762e+09,4.13565
6,D455_1:right_ir,1.67762e+09,1.67762e+09,4.176
7,D455_1:right_ir,1.67762e+09,1.67762e+09,4.21423
8,D455_1:right_ir,1.67762e+09,1.67762e+09,4.25316
9,D455_1:right_ir,1.67762e+09,1.67762e+09,4.29857
10,D455_1:right_ir,1.67762e+09,1.67762e+09,4.28722
11,D455_1:right_ir,1.67762e+09,1.67762e+09,4.35314
12,D455_1:right_ir,1.67762e+09,1.67762e+09,4.36999
13,D455_1:right_ir,1.67762e+09,1.67762e+09,4.41177
14,D455_1:right_ir,1.67762e+09,1.67762e+09,4.47601
15,D455_1:right_ir,1.67762e+09,1.67762e+09,4.51691
16,D455_1:right_ir,1.67762e+09,1.67762e+09,4.55776
17,D455_1:right_ir,1.67762e+09,1.67762e+09,4.5485
18,D455_1:right_ir,1.67762e+09,1.67762e+09,4.58957
19,D455_1:right_ir,1.67762e+09,1.67762e+09,4.65486
20,D455_1:right_ir,1.67762e+09,1.67762e+09,4.6954
21,D455_1:right_ir,1.67762e+09,1.67762e+09,4.68573
22,D455_1:right_ir,1.67762e+09,1.67762e+09,4.74948
23,D455_1:right_ir,1.67762e+09,1.67762e+09,4.79163
24,D455_1:right_ir,1.67762e+09,1.67762e+09,4.80686
25,D455_1:right_ir,1.67762e+09,1.67762e+09,4.87543
26,D455_1:right_ir,1.67762e+09,1.67762e+09,4.88797
27,D455_1:right_ir,1.67762e+09,1.67762e+09,4.90283
28,D455_1:right_ir,1.67762e+09,1.67762e+09,4.97176
29,D455_1:right_ir,1.67762e+09,1.67762e+09,4.98802
30,D455_1:right_ir,1.67762e+09,1.67762e+09,5.00723
31,D455_1:right_ir,1.67762e+09,1.67762e+09,5.02652
32,D455_1:right_ir,1.67762e+09,1.67762e+09,5.0987
33,D455_1:right_ir,1.67762e+09,1.67762e+09,5.09153
34,D455_1:right_ir,1.67762e+09,1.67762e+09,5.15698
35,D455_1:right_ir,1.67762e+09,1.67762e+09,5.17433
36,D455_1:right_ir,1.67762e+09,1.67762e+09,5.19086
37,D455_1:right_ir,1.67762e+09,1.67762e+09,5.25596
38,D455_1:right_ir,1.67762e+09,1.67762e+09,5.27085
39,D455_1:right_ir,1.67762e+09,1.67762e+09,5.28766
40,D455_1:right_ir,1.67762e+09,1.67762e+09,5.3302
41,D455_1:right_ir,1.67762e+09,1.67762e+09,5.37024
42,D455_1:right_ir,1.67762e+09,1.67762e+09,5.41048
43,D455_1:right_ir,1.67762e+09,1.67762e+09,5.45172
44,D455_1:right_ir,1.67762e+09,1.67762e+09,5.49062
45,D455_1:right_ir,1.67762e+09,1.67762e+09,5.5086
46,D455_1:right_ir,1.67762e+09,1.67762e+09,5.54941
47,D455_1:right_ir,1.67762e+09,1.67762e+09,5.58873
48,D455_1:right_ir,1.67762e+09,1.67762e+09,5.57857
49,D455_1:right_ir,1.67762e+09,1.67762e+09,5.59623
50,D455_1:right_ir,1.67762e+09,1.67762e+09,5.68387
51,D455_1:right_ir,1.67762e+09,1.67762e+09,5.70304
52,D455_1:right_ir,1.67762e+09,1.67762e+09,5.69244
53,D455_1:right_ir,1.67762e+09,1.67762e+09,5.75917
54,D455_1:right_ir,1.67762e+09,1.67762e+09,5.81518
55,D455_1:right_ir,1.67762e+09,1.67762e+09,5.831
56,D455_1:right_ir,1.67762e+09,1.67762e+09,5.84735
57,D455_1:right_ir,1.67762e+09,1.67762e+09,5.93282
58,D455_1:right_ir,1.67762e+09,1.67762e+09,5.95161
59,D455_1:right_ir,1.67762e+09,1.67762e+09,5.99393
60,D455_1:right_ir,1.67762e+09,1.67762e+09,6.00718
61,D455_1:right_ir,1.67762e+09,1.67762e+09,6.05149
62,D455_1:right_ir,1.67762e+09,1.67762e+09,6.09234
63,D455_1:right_ir,1.67762e+09,1.67762e+09,6.10812
