seq,frame_id,img_timestamp,recv_timestamp,latency
0,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,3.9649
1,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,4.03481
2,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,4.0708
3,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,4.11356
4,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,4.15513
5,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,4.14737
6,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,4.23073
7,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,4.24554
8,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,4.26436
9,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,4.30486
10,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,4.37578
11,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,4.38862
12,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,4.43013
13,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,4.47146
14,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,4.46341
15,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,4.56009
16,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,4.57765
17,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,4.64074
18,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,4.71405
19,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,4.75916
20,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,4.79631
21,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,4.83914
22,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,4.85521
23,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,4.89818
24,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,4.9176
25,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,4.98454
26,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,5.02124
27,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,5.00949
28,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,5.15025
29,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,5.16464
30,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,5.20552
31,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,5.22685
32,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,5.28965
33,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,5.30746
34,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,5.35301
35,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,5.36457
36,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,5.40641
37,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,5.43873
38,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,5.45624
39,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,5.49624
40,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,5.56439
41,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,5.55674
42,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,5.62377
43,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,5.6397
44,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,5.6809
45,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,5.6739
46,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,5.74222
47,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,5.7563
48,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,5.77133
49,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,5.85453
50,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,5.84761
51,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,5.93938
52,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,5.93572
53,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,5.99891
54,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,5.99155
55,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,6.05578
56,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,6.07322
57,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,6.11432
58,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,6.13013
59,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,6.36734
60,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,6.38377
61,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,6.39977
62,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,6.41774
63,HAWK_0:left_rgb,1.67762e+09,1.67762e+09,6.43466
