seq,frame_id,img_timestamp,recv_timestamp,latency
0,D455_1:rgb,1.67762e+09,1.67762e+09,6.06786
1,D455_1:rgb,1.67762e+09,1.67762e+09,6.03521
2,D455_1:rgb,1.67762e+09,1.67762e+09,6.04471
3,D455_1:rgb,1.67762e+09,1.67762e+09,6.02956
4,D455_1:rgb,1.67762e+09,1.67762e+09,5.994
5,D455_1:rgb,1.67762e+09,1.67762e+09,5.98774
6,D455_1:rgb,1.67762e+09,1.67762e+09,5.93477
7,D455_1:rgb,1.67762e+09,1.67762e+09,5.92652
8,D455_1:rgb,1.67762e+09,1.67762e+09,5.88946
9,D455_1:rgb,1.67762e+09,1.67762e+09,5.90324
10,D455_1:rgb,1.67762e+09,1.67762e+09,5.87381
11,D455_1:rgb,1.67762e+09,1.67762e+09,5.86338
12,D455_1:rgb,1.67762e+09,1.67762e+09,5.85373
13,D455_1:rgb,1.67762e+09,1.67762e+09,5.84625
14,D455_1:rgb,1.67762e+09,1.67762e+09,5.83498
15,D455_1:rgb,1.67762e+09,1.67762e+09,5.80282
16,D455_1:rgb,1.67762e+09,1.67762e+09,5.7927
17,D455_1:rgb,1.67762e+09,1.67762e+09,5.78215
18,D455_1:rgb,1.67762e+09,1.67762e+09,5.77339
19,D455_1:rgb,1.67762e+09,1.67762e+09,5.74036
20,D455_1:rgb,1.67762e+09,1.67762e+09,5.73089
21,D455_1:rgb,1.67762e+09,1.67762e+09,5.7202
22,D455_1:rgb,1.67762e+09,1.67762e+09,5.71322
23,D455_1:rgb,1.67762e+09,1.67762e+09,5.67895
24,D455_1:rgb,1.67762e+09,1.67762e+09,5.66005
25,D455_1:rgb,1.67762e+09,1.67762e+09,5.62295
26,D455_1:rgb,1.67762e+09,1.67762e+09,5.61707
27,D455_1:rgb,1.67762e+09,1.67762e+09,5.60414
28,D455_1:rgb,1.67762e+09,1.67762e+09,5.56123
29,D455_1:rgb,1.67762e+09,1.67762e+09,5.55246
30,D455_1:rgb,1.67762e+09,1.67762e+09,5.54277
31,D455_1:rgb,1.67762e+09,1.67762e+09,5.53442
32,D455_1:rgb,1.67762e+09,1.67762e+09,5.50069
33,D455_1:rgb,1.67762e+09,1.67762e+09,5.51734
34,D455_1:rgb,1.67762e+09,1.67762e+09,5.50498
35,D455_1:rgb,1.67762e+09,1.67762e+09,5.49594
36,D455_1:rgb,1.67762e+09,1.67762e+09,5.46392
37,D455_1:rgb,1.67762e+09,1.67762e+09,5.48008
38,D455_1:rgb,1.67762e+09,1.67762e+09,5.44191
39,D455_1:rgb,1.67762e+09,1.67762e+09,5.43173
40,D455_1:rgb,1.67762e+09,1.67762e+09,5.42534
41,D455_1:rgb,1.67762e+09,1.67762e+09,5.41785
42,D455_1:rgb,1.67762e+09,1.67762e+09,5.40225
43,D455_1:rgb,1.67762e+09,1.67762e+09,5.3887
44,D455_1:rgb,1.67762e+09,1.67762e+09,5.35673
45,D455_1:rgb,1.67762e+09,1.67762e+09,5.34391
46,D455_1:rgb,1.67762e+09,1.67762e+09,5.33531
47,D455_1:rgb,1.67762e+09,1.67762e+09,5.32402
48,D455_1:rgb,1.67762e+09,1.67762e+09,5.31617
49,D455_1:rgb,1.67762e+09,1.67762e+09,5.28963
50,D455_1:rgb,1.67762e+09,1.67762e+09,5.27308
51,D455_1:rgb,1.67762e+09,1.67762e+09,5.23778
52,D455_1:rgb,1.67762e+09,1.67762e+09,5.22855
53,D455_1:rgb,1.67762e+09,1.67762e+09,5.21923
54,D455_1:rgb,1.67762e+09,1.67762e+09,5.20884
55,D455_1:rgb,1.67762e+09,1.67762e+09,5.20067
56,D455_1:rgb,1.67762e+09,1.67762e+09,5.18878
