seq,frame_id,img_timestamp,recv_timestamp,latency
0,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,6.08351
1,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,6.08231
2,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,6.06867
3,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,6.06421
4,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,6.0293
5,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,6.02361
6,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,6.01586
7,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,6.00321
8,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.96876
9,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.96426
10,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.95758
11,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.94324
12,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.91151
13,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.90616
14,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.89326
15,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.88842
16,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.88082
17,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.87323
18,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.83638
19,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.83183
20,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.82385
21,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.79094
22,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.77928
23,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.7708
24,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.76284
25,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.72822
26,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.72112
27,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.71142
28,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.70788
29,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.67068
30,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.66163
31,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.65165
32,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.62098
33,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.60975
34,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.57712
35,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.56709
36,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.56029
37,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.55192
38,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.53962
39,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.54007
40,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.53134
41,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.51973
42,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.48653
43,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.47705
44,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.46875
45,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.4609
46,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.45271
47,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.44364
48,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.44086
49,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.40421
50,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.39448
51,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.38831
52,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.37918
53,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.36957
54,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.3581
55,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.34976
56,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.34216
57,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.33475
58,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.30655
59,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.32396
60,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.28775
61,HAWK_0:right_rgb,1.67762e+09,1.67762e+09,5.27508
